fn,rmsd_all
6_0_solution_4GXY_rpr.pdb,0.0 
6_Blanchet_1_rpr.pdb,22.31 
6_Blanchet_2_rpr.pdb,21.76 
6_Blanchet_3_rpr.pdb,21.32 
6_Blanchet_4_rpr.pdb,22.22 
6_Blanchet_5_rpr.pdb,24.17 
6_Blanchet_6_rpr.pdb,23.28 
6_Blanchet_7_rpr.pdb,22.26 
6_Bujnicki_1_rpr.pdb,36.95 
6_Bujnicki_2_rpr.pdb,30.9 
6_Bujnicki_3_rpr.pdb,32.1 
6_Bujnicki_4_rpr.pdb,32.04 
6_Chen_1_rpr.pdb,24.29 
6_Chen_2_rpr.pdb,22.16 
6_Chen_3_rpr.pdb,23.62 
6_Chen_4_rpr.pdb,22.12 
6_Chen_5_rpr.pdb,23.53 
6_Chen_6_rpr.pdb,35.93 
6_Chen_7_rpr.pdb,30.97 
6_DAS_1_rpr.pdb,14.11 
6_DAS_2_rpr.pdb,13.45 
6_DAS_3_rpr.pdb,15.54 
6_DAS_4_rpr.pdb,11.6 
6_DAS_5_rpr.pdb,15.56 
6_DAS_6_rpr.pdb,12.22 
6_DAS_7_rpr.pdb,17.78 
6_DAS_8_rpr.pdb,17.76 
6_DAS_9_rpr.pdb,14.87 
6_DAS_10_rpr.pdb,28.96 
6_Dokholyan_1_rpr.pdb,26.06 
6_Dokholyan_2_rpr.pdb,26.55 
6_Dokholyan_3_rpr.pdb,26.18 
6_Dokholyan_4_rpr.pdb,24.93 
6_Dokholyan_5_rpr.pdb,22.58 
6_Dokholyan_6_rpr.pdb,37.37 
